time,1,AEX,AS51,ATX,BFX,DJIA,FCHI,FTSE,GDAXI,HSI,JKSE,KLSE,KS11,MIB#0Ò²È¥µô,MXX,N225,NZ50,OSEAX,PSI,RTS,SENSEX,SSMI,STI,TWII
2003-09-25,-1.2867,-1.235184,-1.112668,-0.5949084,-0.4344431,-0.8652031,-1.018451,-0.8072823,0.5723612,-0.08295157,-0.3153749,-0.3114146,-1.542706,-0.8343723,-0.2073669,-1.830553,-0.1217291,-1.631641,-0.3321784,-0.7661732,-1.359847,-1.340167,-0.3203527,-0.5964302
2003-09-26,-0.3960,-1.338606,-0.04097481,0.1858077,-0.1614566,-0.3304796,-0.426555,-1.07325,-0.04268811,0.03216987,-0.6410354,-0.06059383,-2.259221,-0.8027079,0.1838673,0.08147777,0.06247484,-1.798041,-0.02586885,-0.2401587,1.987827,-0.5677691,-0.2188052,-0.6701578
2003-09-29,-1.1314,-0.4650047,-0.2270204,0.476696,-0.3253743,0.7211379,-0.8719969,-0.346393,-0.04421898,-1.318584,-0.4501221,-0.8164692,-0.1921461,-0.1364921,0.6439536,-0.8612747,-0.1591706,0.6418568,-0.2656308,2.668026,0.4444876,-0.565159,-0.1794205,-0.1169865
2003-09-30,0.8729,-1.836679,0.1643318,0.2157211,-0.9184643,-1.1213,-1.684693,-1.24074,-2.003979,0.7951496,0.08540874,-0.3681212,0.2097552,-1.513229,-0.1771216,-0.1028441,0.4509836,-0.778735,-0.9875104,-0.1705337,1.162877,-1.152418,0.2334153,-0.568616
2003-10-08,0.3313,-0.3487778,0.7580746,0.6741413,-0.1336036,-0.2455817,-0.1886441,-0.07958573,1.178565,-0.02661326,1.465931,1.47886,-0.5955269,0.07747433,-0.1653665,-2.570438,-0.05176404,0.7190992,-1.080195,3.880512,0.04144068,0.4391358,0.8886819,-0.5955656
2003-10-09,-0.1837,2.352271,0.252843,0.1819624,0.5779724,0.5099147,2.351156,1.061233,2.549673,0.6788812,1.906037,2.605247,1.853999,1.374105,1.599194,-0.1020638,0.1457986,0.6879973,0.3942886,-1.439605,1.376963,1.39131,0.1015482,0.8258628
2003-10-14,-0.8209,-0.6845772,0.1983885,0.4521597,-0.4637008,0.4977335,-0.4594828,-0.6464413,-0.007348251,-0.8857253,0.6657012,-1.150628,1.254921,-0.03797588,-0.9258268,1.672436,-0.7905246,0.5760878,-1.394802,0.5798544,-1.386605,-0.3565431,-1.405369,-0.5701208
2003-10-15,-0.3652,1.519512,0.02437019,0.3134396,1.306182,-0.1011993,0.8992819,0.8006208,0.9171567,1.688258,0.2651424,0.07411128,-0.2987579,1.158705,-0.5454742,-0.6062091,0.3247753,1.019708,-0.657083,0.2610949,1.531358,0.1617815,1.074883,-0.2364272
2003-10-16,-1.2718,-1.068263,0.3471738,0.6028015,-0.2761852,-0.1155771,-0.518225,-0.6660779,0.1999645,-0.2373005,-0.1752682,0.1161851,1.667036,-0.1408318,-0.07088566,1.148631,0.2560162,-0.2430054,0.8959204,1.387724,0.6603161,0.007599094,0.2186861,1.879696
2003-10-17,0.3713,0.67716,-0.02427996,-0.2921506,-0.2597047,-0.7141716,-0.1122868,0.09908068,-1.706395,0.1406761,0.05390985,-0.3915226,-1.186657,-0.4983076,0.2765923,0.1155472,0.6828388,0.4871947,-0.07089766,0.5171522,0.8841239,-0.2964164,1.188949,0.1154743
2003-10-20,-0.8084,-0.7665269,-0.200349,0.04622856,0.3879978,0.5775725,0.1514759,0.0805709,1.213084,0.858479,0.478717,0.05121624,1.131879,0.02834735,0.2029333,1.121775,0.02034074,-0.5407822,0.1118991,-0.5882341,-1.59942,0.3678138,0.332292,0.582192
2003-10-21,0.3531,0.4030187,0.4866624,-0.4684499,-0.05307998,-0.3098892,0.1339764,0.1104038,0.5829749,0.846244,-0.8870088,1.133788,0.4443372,0.2267145,0.7733867,-1.166402,0.08222325,0.03124996,1.25871,-4.523258,-1.977664,-0.1651957,0.7139991,-0.270327
2003-10-22,2.4709,-2.073896,-0.1271287,-0.4242387,-0.9266915,-1.532673,-1.801805,-1.532516,-2.499385,-0.0984479,-0.1236515,1.872681,-0.07821428,-1.479736,-0.2839983,-1.286309,-0.1668976,-0.4935607,-0.2416853,-4.757433,-0.305317,-1.546241,-1.110422,-0.3233561
2003-10-23,-0.8126,-1.45018,-1.006212,-0.5680499,-1.061387,0.1551289,-1.162985,-1.059359,0.1873545,-4.097274,-2.349226,-0.0844596,-3.226057,-0.9375299,-0.5065659,-5.091637,-0.6734538,-1.079928,-1.323463,0.7189972,-1.9571,-1.035431,-2.168898,-1.483482
2003-10-28,-0.0102,0.8119088,-0.0277371,0.3756335,0.5408043,1.45865,1.377849,0.5080822,1.985438,2.912071,-0.3481444,0.2638385,1.805386,0.7094918,0.297402,1.022464,0.282771,0.3124024,0.3585704,1.848447,0.2026278,0.5351345,1.906626,1.961893
2003-10-29,-0.5718,0.8115807,0.6135318,1.090372,-0.7081221,0.2689769,0.4415092,-0.168497,0.7942723,0.3194696,-0.3669061,0.5374554,0.5545796,0.4760091,-0.04439581,1.687433,0.8759435,0.2242296,0.1305836,-2.221046,0.771067,-0.1485033,-0.7144239,0.3361055
2003-10-30,-1.2383,0.9525197,0.3186905,0.8206832,0.9790854,0.1235873,0.6061913,0.8251801,0.6704613,0.1058475,0.5235717,0.2629733,0.8054831,0.6537806,1.233278,-0.4065487,-0.2553661,1.957612,1.203092,-9.950837,0.7676888,0.8826692,-0.7831811,0.2011159
2003-10-31,0.2729,0.5082981,-0.05498347,0.156455,1.05986,0.1482614,-0.4180292,-0.3092331,0.4486704,0.3849844,-0.3631603,0.6181529,-0.4555077,0.1976843,0.5221295,-1.271273,-0.2322424,0.2621041,1.290866,4.476779,2.64302,-0.2259208,0.4023249,-1.031572
2003-11-04,1.8687,-0.7484644,0.2518026,0.6806958,-0.1876005,-0.1991171,-0.4146473,-0.05309267,-0.07451032,0.4352223,1.495315,0.3566596,0.5176998,0.08732961,0.348293,2.730976,0.4595814,0.1198807,1.464533,-0.6854323,0.6875342,-1.268892,1.443592,0.3538434
2003-11-05,-0.3195,-0.6358107,-0.7351364,-0.9129625,0.3089372,-0.1829486,-0.9215127,-0.6212019,-0.6416855,-0.01446705,1.489252,-0.3063763,1.187098,-0.5462822,-0.4087909,-0.09614414,-0.1814401,-0.8740894,-0.09248568,-1.925294,-0.6459538,-0.9310543,-0.8722842,0.5455827
2003-11-06,-2.0446,0.8571443,0.01234753,-0.2000346,0.6366971,0.3679897,0.5578702,0.4833456,0.4365597,-2.321987,-0.473406,-0.5347301,-1.920526,0.5302106,1.343167,-2.631965,-0.5091345,1.316659,-0.1739275,-0.04258598,-0.3429502,0.6246156,-0.7417681,-2.09888
2003-11-10,0.3670,-1.113728,-0.5664123,-0.0862338,-0.1207163,-0.5429246,-0.8091193,-0.8019397,-0.960198,-0.4788328,-1.064234,-0.7213871,-0.9315329,-0.3149606,-0.6939008,-1.170765,-0.2536685,-0.5068069,-0.2667888,0.1683918,0.543088,-1.083099,-1.64602,0.03631779
2003-11-11,0.2627,-0.8314436,-0.9132844,-0.5575284,-0.2271922,-0.1920789,-0.558798,0.0760121,-0.4369681,-1.259057,-0.3789954,-0.7091481,-1.103492,-0.8463101,-0.07871196,-2.832109,0.9316384,-0.7403897,-1.81148,-2.250267,0.6415898,0.3452674,-2.61104,-0.6098288
2003-11-12,-1.9224,0.1486547,0.07498289,0.3289778,-0.3679821,1.1403,0.1467976,0.6006789,0.4951907,-0.2677496,0.3480581,-0.6249411,1.08407,0.5197071,2.077576,0.1879065,-0.5030849,0.304329,-1.465521,-1.614135,-0.4943728,0.1958119,1.270091,-0.6530979
2003-11-13,0.1381,0.5996702,0.4589432,0.8699635,-0.1110724,-0.1105679,0.04397473,0.04117415,0.4602037,2.139166,-0.8437222,0.1493076,2.10973,0.6566533,1.225159,1.089847,0.1149906,-0.02974779,-1.441114,0.1284667,-1.130892,1.049213,1.746599,0.8806977
2003-11-14,0.8669,-0.008852593,-0.4941387,0.4440295,0.5642359,-0.7040167,1.056396,0.5488223,0.8447498,-0.1966052,-0.6995945,0.09349331,-0.3960068,0.4124175,-0.4384512,-1.650375,-0.2146666,-0.1963738,0.1227806,-0.6015576,-1.683722,0.824272,-0.6759427,0.1545882
2003-11-17,-0.2216,-2.918777,-0.8557732,-0.6534545,-1.549875,-0.5921947,-2.589458,-1.321358,-3.235368,-1.692221,-0.4178079,-1.297599,-1.903968,-1.586887,-1.363926,-3.739818,0.1840891,-1.323714,-1.253781,-2.28538,1.529028,-1.771008,-2.595665,-1.529425
2003-11-18,-0.8689,-0.1368026,0.03150202,0.7138895,-0.388722,-0.8925079,-0.1899243,0.3641544,-0.2247903,0.2520646,-0.329061,0.02813104,0.8181555,0.5615206,0.6248348,1.126205,0.4225743,-0.3021331,-0.04666319,-4.458929,-0.9938828,-0.4701745,0.4437392,-0.2158757
2003-11-19,1.6946,-0.3866024,0.1889526,0.4590248,-0.1786367,0.6888893,-0.2845293,-0.6269156,-0.3815854,-1.282666,-0.6355298,-2.073714,-3.654314,-0.2188266,-2.229072,-2.853883,0.2674046,-0.9455196,-0.7326571,-2.701841,-1.378003,-0.9962057,-1.832363,-1.245237
2003-11-21,-1.0861,-0.1443626,-0.4710907,0.3222556,0.3793551,0.09470791,1.255275,0.2553389,0.1157206,-0.04736308,1.860322,0.9341038,0.172853,-0.003792476,-0.1936218,-0.1304532,-0.6157123,0.7879746,0.1471158,2.055366,1.410749,0.1038263,-0.3957855,-0.07164901
2003-12-01,2.5393,1.472044,-0.511543,1.139084,0.8513485,1.191825,1.911649,1.552063,2.008836,1.132704,2.084006,1.447486,1.407976,1.185742,0.7788887,2.996853,0.9936659,0.5092907,0.5624616,-0.1072802,2.299989,1.079453,1.485757,1.704848
