time,SH,DJIA,FCHI,FTSE,HSI,N225,SSMI,STI,TWII
2019/10/30,-0.5028799,0.4257979,0.4482466,0.3356029,-0.4444316,-0.5702575,-0.02671395,0.3403111,0.409482
2019/10/31,-0.3492019,-0.5166461,-0.6245415,-1.124026,0.8962515,0.367375,-0.3425651,0.6845545,-0.1895411
2019/11/5,0.540114,0.1111403,0.3878635,0.2495375,0.4940579,1.75583,-0.6200001,0.3778884,0.7543636
2019/11/6,-0.4334539,-0.00025575,0.3394984,0.1159953,0.01892916,0.222906,0.439202,0.4327996,0.07763668
2019/11/7,0.003999894,0.6628711,0.4133471,0.1319551,0.5727614,0.1137153,0.08413045,0.7058602,-0.3991286
2019/11/8,-0.4877954,0.02326829,-0.02189851,-0.6349942,-0.7041628,0.2638147,-0.1699446,-0.6519095,-0.2327954
2019/11/11,-1.828833,0.03702869,0.06994633,-0.4190549,-2.62047,-0.2566246,-0.03842127,-0.7245089,-1.314903
2019/11/13,-0.3287681,0.3325917,-0.213863,-0.1931993,-1.824546,-0.8509377,-0.1448536,-0.8745969,-0.4560621
2019/11/14,0.1593296,-0.005862836,-0.1017382,-0.7951099,-0.9324722,-0.7646628,-0.640721,-0.22752,-0.1518174
2019/11/15,-0.6366568,0.802426,0.6471687,0.1395929,0.01128528,0.6990436,0.7513722,0.2169039,0.6565671
2019/11/19,0.8521256,-0.3645326,-0.3497634,0.2203102,1.546829,-0.5300024,0.1820771,-0.6072986,0.4881137
2019/11/20,-0.7817686,-0.404273,-0.2541867,-0.8371279,-0.7536462,-0.6185645,0.1902437,-0.2806561,-0.2161919
2019/11/21,-0.2547537,-0.1969757,-0.2175052,-0.3296449,-1.572089,-0.4751492,-0.4563047,-1.163239,-0.6270261
2019/11/22,-0.6319274,0.3937511,0.2026781,1.219308,0.484376,0.3225059,0.3007329,1.047548,0.07380234
2019/11/25,0.7236672,0.6846541,0.5384232,0.9482978,1.496363,0.7784823,0.9564613,-0.1556282,-0.0451268
2019/11/26,0.03069643,0.196708,0.08034374,0.09261532,-0.2931094,0.3456421,0.3659467,-0.3968101,0.1318179
2019/11/29,-0.6129425,-0.3997651,-0.1276958,-0.9425072,-2.034825,-0.4922456,-0.340953,-0.2090285,-1.097606
2019/12/2,0.1332156,-0.9567116,-2.005526,-0.824741,0.3728408,1.01138,-1.379934,-0.1862899,0.115407
